residual,phi1_L8Bo,phi3_Donor,phi2_Chloroform
1.0452406994178406e-29,0.34612983772133765,0.20353788961855762,0.4503322726601047
1.0452406994178406e-29,0.5073843743910621,0.012024554933108462,0.48059107067582946
6.508102468073347e-30,0.3468181710982712,0.19793087987855917,0.45525094902316965
6.508102468073347e-30,0.5022432416069258,0.012946520487447436,0.4848102379056268
2.3665827156630354e-30,0.3475672664879335,0.19230112039037023,0.4601316131216963
2.3665827156630354e-30,0.49711121632578675,0.013939176432251284,0.488949607241962
7.888609052210118e-31,0.34838123310290603,0.186650140478761,0.464968626418333
7.888609052210118e-31,0.491989745604287,0.015007942852121372,0.49300231154359164
5.7192415628523356e-30,0.3492645063836174,0.18097968230660644,0.4697558113097762
5.7192415628523356e-30,0.48688041756578365,0.016158655408895144,0.49696092702532113
9.860761315262648e-31,0.35125851955380866,0.16958846546267997,0.4791530149835113
9.860761315262648e-31,0.4767053001904422,0.018731533092536234,0.5045631667170215
1.5777218104420236e-30,0.3523800321479308,0.16387241080719284,0.4837475570448764
1.5777218104420236e-30,0.4716434731494302,0.020167746606246286,0.5081887802443235
6.508102468073347e-30,0.3535924690865551,0.15814632419807784,0.4882612067153671
6.508102468073347e-30,0.4666017329844879,0.021714079737329535,0.5116841872781825
4.141519752410312e-30,0.3549023851915724,0.1524132822954662,0.49268433251296134
4.141519752410312e-30,0.46158251269012424,0.023378975749976612,0.5150385115598991
3.944304526105059e-30,0.3563168813337464,0.1466766893420417,0.4970064293242119
3.944304526105059e-30,0.4565884451998244,0.025171525283586075,0.5182400295165895
1.5777218104420236e-30,0.35784365530296025,0.14094029948745357,0.5012160452095862
1.5777218104420236e-30,0.4516223747637666,0.02710151598933272,0.5212761092469006
1.5777218104420236e-30,0.35949105808415593,0.13520823988503095,0.5053007020308131
1.5777218104420236e-30,0.44668736878867105,0.02917948597254876,0.5241331452387803
8.085824278515371e-30,0.3612681561941168,0.12948503445782233,0.5092468093480609
8.085824278515371e-30,0.4417867301463642,0.03141678133272332,0.5267964885209124
6.508102468073347e-30,0.36318480082929094,0.12377562818440813,0.5130395709863009
6.508102468073347e-30,0.43692400995272007,0.03382561811529879,0.5292503719319811
9.860761315262648e-31,0.36525170468498525,0.11808541170218023,0.5166628836128345
9.860761315262648e-31,0.43210302081647267,0.036419149013532916,0.5314778301699944
9.860761315262648e-31,0.36748052742456905,0.11242024597753597,0.520099226597895
9.860761315262648e-31,0.42732785055857136,0.03921153518463057,0.533460614256798
7.888609052210118e-31,0.36988397092163755,0.10678648671981128,0.5233295423585512
7.888609052210118e-31,0.42260287639976035,0.04221802357227479,0.5351791000279649
3.944304526105059e-30,0.3724758855741627,0.10119100811676596,0.5263331063090713
3.944304526105059e-30,0.4179327796098187,0.04545503015775231,0.536612190232429
7.888609052210118e-31,0.37527138917056857,0.09564122539000786,0.5290873854394236
7.888609052210118e-31,0.4133225606152377,0.04894022959424022,0.537737209790522
1.5777218104420236e-30,0.3782870000459048,0.09014511549754012,0.531567884456555
1.5777218104420236e-30,0.4087775545519159,0.05269265171367303,0.5385297937344111
1.5777218104420236e-30,0.381540786497573,0.08471123521888069,0.5337479782835463
1.5777218104420236e-30,0.40430344725906364,0.056732785433136125,0.5389637673078003
7.888609052210118e-31,0.38505253477643486,0.0793487356275997,0.5355987295959654
7.888609052210118e-31,0.3999062916998211,0.0610826906281332,0.5390110176720457
7.888609052210118e-31,0.3888439381223448,0.074067372018367,0.5370886898592883
7.888609052210118e-31,0.3955925248028269,0.06576611858357644,0.5386413566135967
