residual,phi1_L8Bo,phi3_Donor,phi2_Chloroform
7.888609052210118e-31,0.39412163893351354,0.22106681414772766,0.38481154691875874
7.888609052210118e-31,0.5886932840924833,0.0037528569368471595,0.4075538589706695
1.5777218104420236e-30,0.39482948320095046,0.2172352234680674,0.38793529333098214
1.5777218104420236e-30,0.5855288120120736,0.004034192963795126,0.4104369950241312
3.944304526105059e-30,0.3955601404693525,0.21337062179205424,0.39106923773859326
3.944304526105059e-30,0.5823456047365665,0.00433661957889788,0.41331777568453565
8.67746995743113e-30,0.39631476361964096,0.20947281146488772,0.39421242491547137
8.67746995743113e-30,0.5791434752229474,0.0046617178555555805,0.416194806921497
7.888609052210118e-31,0.39709457781934515,0.2055416399086179,0.397363782272037
7.888609052210118e-31,0.5759222524038533,0.005011187393644667,0.41906656020250205
3.944304526105059e-30,0.397900885738727,0.20157700477299245,0.4005221094882806
3.944304526105059e-30,0.5726817830546548,0.005386855204953286,0.4219313617403919
7.888609052210118e-31,0.39873507318959844,0.19757885950455478,0.4036860673058468
7.888609052210118e-31,0.5694219337963918,0.005790685264720702,0.42478738093888746
8.67746995743113e-30,0.39959861522506096,0.19354721936182162,0.40685416541311736
8.67746995743113e-30,0.5661425932416748,0.006224788779215805,0.4276326179791094
1.5777218104420236e-30,0.4004930827429089,0.1894821679038573,0.41002474935323374
1.5777218104420236e-30,0.5628436742897973,0.006691435223033116,0.43046489048716957
7.888609052210118e-31,0.401420149637154,0.18538386398597206,0.41319598637687394
7.888609052210118e-31,0.5595251165795069,0.0071930642038088655,0.43328181921668424
7.888609052210118e-31,0.4023816005502265,0.1812525492909064,0.41636585015886707
7.888609052210118e-31,0.5561868891052544,0.00773229821638526,0.43608081267836035
1.5777218104420236e-30,0.4033793392807325,0.1770885564303149,0.41953210428895255
1.5777218104420236e-30,0.5528289930045566,0.008311956353101295,0.43885905064234215
2.129924444096732e-29,0.40441539790922704,0.17289231764945495,0.42269228444131796
2.129924444096732e-29,0.5494514645230044,0.008935069041886878,0.4416134664351087
2.3665827156630354e-30,0.4054919467104362,0.1686643741695592,0.4258436791200046
2.3665827156630354e-30,0.5460543781632505,0.00960489388921029,0.4443407279475392
4.733165431326071e-30,0.4066113049284953,0.16440538620176776,0.42898330886973696
4.733165431326071e-30,0.5426378500236168,0.010324932710705422,0.4470372172656778
7.888609052210118e-31,0.4077759524974085,0.16011614367125088,0.4321079038313406
7.888609052210118e-31,0.5392020413327961,0.011098949838514005,0.44969900882868985
2.3665827156630354e-30,0.40898854280280156,0.15579757768195868,0.4352138795152398
2.3665827156630354e-30,0.5357471621837148,0.011930991801052988,0.45232184601523223
1.1044052673094165e-29,0.4102519165864251,0.15145077276063112,0.43829731065294375
1.1044052673094165e-29,0.5322734754715012,0.012825408478091844,0.454901116050407
1.7749370367472766e-30,0.41156911711176114,0.14707697990891344,0.4413539029793254
1.7749370367472766e-30,0.5287813010367539,0.013786875841737864,0.4574318231215082
1.0452406994178406e-29,0.4129434067157384,0.1426776305014223,0.4443789627828392
1.0452406994178406e-29,0.5252710200169298,0.014820420402218254,0.4599085595808519
1.1241267899399418e-29,0.41437828489732975,0.13825435104697142,0.4473673640556988
1.1241267899399418e-29,0.5217430794017656,0.01593144548626039,0.462325475111974
1.9721522630525295e-31,0.4158775080972784,0.1338089788492482,0.4503135130534734
1.9721522630525295e-31,0.5181979967933925,0.017125759485452717,0.4646762437211548
1.7749370367472766e-30,0.41744511135593737,0.12934357857539042,0.45321131006867216
1.7749370367472766e-30,0.5146363653625106,0.018409606222267456,0.466954028415222
1.7749370367472766e-30,0.4190854320499607,0.12486045974799287,0.4560541082020465
1.7749370367472766e-30,0.5110588589930591,0.019789697592497133,0.4691514434144437
9.860761315262648e-31,0.420803135939913,0.12036219515757696,0.4588346689025101
9.860761315262648e-31,0.5074662376018477,0.02127324865475861,0.47126051374339367
1.5777218104420236e-30,0.42260324578573527,0.11585164018754585,0.4615451140267189
1.5777218104420236e-30,0.503859352616965,0.022868015350510675,0.4732726320325243
2.3665827156630354e-30,0.42449117282274185,0.11133195302516075,0.4641768741520974
2.3665827156630354e-30,0.500239152592701,0.024582335051784136,0.47517851235551484
3.3526588471893e-30,0.42647275144041785,0.10680661569672617,0.466720632862856
3.3526588471893e-30,0.49660668892904336,0.026425170148605848,0.4769681409223508
1.5777218104420236e-30,0.42855427742644253,0.10227945588039083,0.4691662666931666
1.5777218104420236e-30,0.49296312166605327,0.028406154903990233,0.4786307234299565
1.5777218104420236e-30,0.4307425502265822,0.0977546693644123,0.47150278040900545
1.5777218104420236e-30,0.48930972530182365,0.03053564582145408,0.4801546288767222
4.733165431326071e-30,0.43304491970622305,0.09323684302310936,0.4737182372706676
4.733165431326071e-30,0.48564789458317154,0.032824775788373506,0.481527329628455
