residual,phi1_L8Bo,phi3_Donor,phi2_Toluene
4.93038065763132e-32,0.29219847123768,0.553917273103759,0.153884255658561
4.93038065763132e-32,0.798223512786554,1.33083298091805e-05,0.201763178883637
3.90979186150164e-29,0.281389846752534,0.539312247673087,0.179297905574379
3.90979186150164e-29,0.76574751196631,1.42940219232234e-05,0.234238194011766
3.54987407349455e-30,0.273462779719023,0.527936959534437,0.19860026074654
3.54987407349455e-30,0.741295688920885,1.53527201137325e-05,0.258688958359002
7.49417859959961e-30,0.266981019469295,0.518202939201424,0.214816041329281
7.49417859959961e-30,0.72090812525103,1.64898316342762e-05,0.279075384917336
1.97215226305253e-31,0.261405213442729,0.509509219453441,0.22908556710383
1.97215226305253e-31,0.703090783656459,1.77111642309923e-05,0.29689150517931
3.17516514351457e-29,0.256463439691039,0.501550649311133,0.241985910997827
3.17516514351457e-29,0.68708706107139,1.90229558053914e-05,0.312893915972805
7.29696337329436e-30,0.251996133850972,0.494146909407602,0.253856956741426
7.29696337329436e-30,0.672451048160428,2.04319062741592e-05,0.327528519933298
0,0.247900352462136,0.487180858884374,0.26491878865349
0,0.658893836299955,2.19452117886806e-05,0.341084218488257
1.26217744835362e-29,0.244105193069352,0.480571260910838,0.27532354601981
1.26217744835362e-29,0.646215603677534,2.35706014890607e-05,0.353760825720977
7.88860905221012e-31,0.240559418922674,0.474259007982746,0.28518157309458
7.88860905221012e-31,0.634271354954404,2.53163769803614e-05,0.365703328668615
1.57772181044202e-30,0.237224614542682,0.468199479897307,0.294575905560011
1.57772181044202e-30,0.622951935549965,2.71914547326776e-05,0.377020872995302
3.94430452610506e-30,0.234071123609743,0.462357994245743,0.303570882144514
3.94430452610506e-30,0.612172741673644,2.92054116216078e-05,0.387798052914735
1.97215226305253e-30,0.231075501615147,0.456706944598059,0.312217553786795
1.97215226305253e-30,0.601866626509448,3.13685338417182e-05,0.398102004956711
5.12759588393658e-30,0.228218846061468,0.451223918771326,0.320557235167206
5.12759588393658e-30,0.591979241077238,3.36918694428196e-05,0.407987067053319
