residual,phi1_L8Bo,phi3_Donor,phi2_o-Xylene
2.31210719573296e-24,0.485989894166747,0.504835733452929,0.00917437238032455
2.31210719573296e-24,0.988776409119477,1e-05,0.011213590880523
2.12652233607377e-23,0.480811053518846,0.499033321725499,0.0201556247556541
2.12652233607377e-23,0.975384256882156,1.07363035941753e-05,0.0246050068142502
5.0847632019734e-29,0.475855309774389,0.493395298264878,0.0307493919607326
5.0847632019734e-29,0.962497063923768,1.15268214866301e-05,0.0374914092547454
5.10417657581283e-29,0.471105914565788,0.487907803971133,0.0409862814630789
5.10417657581283e-29,0.950075103423277,1.23755454956324e-05,0.0499125210312275
2.46519032881566e-31,0.466547058909075,0.482558349503627,0.0508945915872973
2.46519032881566e-31,0.938081821862152,1.32867613584638e-05,0.0619048913764897
4.94824207089924e-25,0.462164050840725,0.47733571319536,0.0605002359639147
4.94824207089924e-25,0.926483870752597,1.42650703727824e-05,0.0735018641770301
1.10343509165551e-25,0.457943369896428,0.472229822188713,0.0698268079148598
1.10343509165551e-25,0.915250978412774,1.53154126314467e-05,0.0847337061745945
2.38836143962296e-26,0.453872649689523,0.467231631502325,0.0788957188081512
2.38836143962296e-26,0.904355740586991,1.64430919681279e-05,0.0956278163210413
7.57726783963234e-27,0.449940620812469,0.462333008824078,0.0877263703634531
7.57726783963234e-27,0.893773377131688,1.76538027396766e-05,0.106208969065572
2.65423344918089e-27,0.446137033959747,0.457526628694397,0.0963363373458562
2.65423344918089e-27,0.883481482114753,1.89536585804851e-05,0.116499564226666
7.10467852764674e-28,0.442452575328235,0.452805877431375,0.10474154724039
7.10467852764674e-28,0.873459782513935,2.03492232740434e-05,0.126519868262791
4.54433185213879e-28,0.43887878138933,0.448164768851527,0.112956449759143
4.54433185213879e-28,0.863689913278705,2.18475438975787e-05,0.136288239177398
1.34599391953335e-29,0.435407957028237,0.443597870176843,0.12099417279492
1.34599391953335e-29,0.854155212116139,2.34561864071477e-05,0.145821331697454
5.05364017407211e-29,0.432033099130916,0.439100237216074,0.12886666365301
5.05364017407211e-29,0.844840534810113,2.51832738428705e-05,0.155134281916044
3.94430452610506e-31,0.428747826533905,0.434667357809586,0.13658481565651
3.94430452610506e-31,0.83573209046612,2.70375273472311e-05,0.164240872006533
