residual,phi1_L8Bo,phi3_Donor,phi2_Toluene
3.94430452610506e-30,0.270718491495558,0.384290149907985,0.344991358596457
3.94430452610506e-30,0.588493987545467,1.42462715049241e-05,0.411491766183028
3.88513995821348e-29,0.270023486730041,0.381770285626753,0.348206227643206
3.88513995821348e-29,0.585024619714979,1.52911961819879e-05,0.414960089088839
3.33293732455877e-29,0.269330949479258,0.379250246486921,0.351418804033821
3.33293732455877e-29,0.581565833435383,1.64127631987936e-05,0.418417753801418
3.3526588471893e-30,0.268640828570229,0.376729846882683,0.354629324547088
3.3526588471893e-30,0.578117394323751,1.76165940593311e-05,0.42186498908219
4.14151975241031e-30,0.267953074359708,0.374208900220771,0.357838025419521
4.14151975241031e-30,0.574679070771717,1.89087225893853e-05,0.425302020505694
0,0.267267638717519,0.371687218818786,0.361045142463695
0,0.571250633827158,2.02956251792013e-05,0.428729070547663
3.15544362088405e-30,0.266584475012968,0.36916461380421,0.364250911182823
3.15544362088405e-30,0.567831857081045,2.17842532443659e-05,0.432146358665711
3.3526588471893e-30,0.265903538104537,0.366640895013037,0.367455566882426
3.3526588471893e-30,0.564422516558564,2.33820680676041e-05,0.435554101373368
4.14151975241031e-30,0.26522478433279,0.364115870889089,0.370659344778121
4.14151975241031e-30,0.561022390615373,2.50970781961264e-05,0.438952512306431
2.54407641933776e-29,0.264548171516747,0.361589348383006,0.373862480100246
2.54407641933776e-29,0.55763125983821,2.69378795819675e-05,0.442341802282208
1.28189897098414e-29,0.263873658953649,0.359061132851584,0.377065208194767
1.28189897098414e-29,0.554248906950296,2.89136986665076e-05,0.445722179351037
3.3526588471893e-30,0.263201207422289,0.356531027957524,0.380267764620187
3.3526588471893e-30,0.550875116721704,3.1034438625126e-05,0.449093848839671
2.56379794196829e-30,0.262530779190111,0.353998835568936,0.383470385240953
2.56379794196829e-30,0.547509675884129,3.33107290037705e-05,0.452457013386867
2.91878534931774e-29,0.261862338024066,0.351464355659506,0.386673306316427
2.91878534931774e-29,0.544152373050822,3.57539789962329e-05,0.455811872970181
9.46633086265214e-30,0.261195849205475,0.348927386208906,0.38987676458562
9.46633086265214e-30,0.540802998641406,3.83764346291661e-05,0.459158624923965
3.3526588471893e-30,0.260531279549062,0.34638772310326,0.393080997347678
3.3526588471893e-30,0.537461344811431,4.11912401414631e-05,0.462497463948428
3.3526588471893e-30,0.259868597426292,0.343845160036639,0.396286242537068
3.3526588471893e-30,0.534127205387581,4.4212503865645e-05,0.465828582108554
1.18329135783152e-30,0.259207772793235,0.341299488412829,0.399492738793936
1.18329135783152e-30,0.530800375807874,4.74553689414664e-05,0.469152168823185
9.86076131526265e-31,0.258548777223229,0.338750497247753,0.402700725529019
9.86076131526265e-31,0.52748065306735,5.09360892161688e-05,0.472468410843434
2.73931949337996e-28,0.2578915839445,0.336197973072975,0.405910442982524
2.73931949337996e-28,0.52416783566959,5.46721107118071e-05,0.475777492219698
6.50810246807335e-30,0.257236167883095,0.333641699839795,0.40912213227711
6.50810246807335e-30,0.520861723583782,5.86821590679811e-05,0.47907959425715
4.65427934080397e-29,0.256582505711227,0.331081458825469,0.412336035463303
4.65427934080397e-29,0.517562118208661,6.29863333982486e-05,0.48237489545794
3.94430452610506e-31,0.255930575901701,0.328517028539303,0.415552395558996
3.94430452610506e-31,0.514268822341639,6.76062070306475e-05,0.48566357145133
9.86076131526265e-31,0.255280358788304,0.32594818463194,0.418771456579756
9.86076131526265e-31,0.510981640155861,7.25649356372579e-05,0.488945794908502
1.18329135783152e-30,0.254631836632899,0.323374699805456,0.421993463561645
1.18329135783152e-30,0.507700377183428,7.78873732947675e-05,0.492221735443277
1.18329135783152e-30,0.253984993699438,0.320796343725901,0.425218662574661
1.18329135783152e-30,0.504424840306215,8.36001970577605e-05,0.495491559496728
3.94430452610506e-31,0.253339816335283,0.318212882938689,0.428447300726029
3.94430452610506e-31,0.501154837754714,8.9732040669112e-05,0.498755430204617
3.54987407349455e-30,0.252696293060484,0.315624080786031,0.431679626153485
3.54987407349455e-30,0.497890179114473,9.63136380776715e-05,0.502013507247449
1.77493703674728e-30,0.25205441466527,0.313029697328376,0.434915888006354
1.77493703674728e-30,0.494630675341756,0.000103377977482572,0.505265946680761
6.7053176943786e-30,0.251414174316496,0.310429489268778,0.438156336414725
6.7053176943786e-30,0.491376138787805,0.000110960466676264,0.508512900745519
3.94430452610506e-31,0.250775567673502,0.307823209881658,0.44140122244484
3.94430452610506e-31,0.488126383232982,0.000119099110515002,0.511754517656503
1.97215226305253e-31,0.250138593014019,0.305210608946232,0.444650798039749
1.97215226305253e-31,0.484881223931224,0.000127834701406306,0.51499094136737
0,0.249503251370853,0.302591432684688,0.447905315944459
0,0.481640477664996,0.000137211023768151,0.518222311311236
1.77493703674728e-30,0.248869546680014,0.29996542370633,0.451165029613656
1.77493703674728e-30,0.478403962811981,0.000147275073484665,0.521448762114534
1.18329135783152e-30,0.248237485941068,0.297332320958085,0.454430193100846
1.18329135783152e-30,0.475171499423934,0.000158077293458314,0.524670423282607
1.00382550189374e-27,0.247607079390618,0.294691859681688,0.457701060927694
1.00382550189374e-27,0.471942909318196,0.000169671826439168,0.527887418855365
3.54987407349455e-30,0.246978340689563,0.29204377138035,0.460977887930087
3.54987407349455e-30,0.468718016184252,0.000182116786398514,0.531099867029349
7.88860905221012e-30,0.246351287125794,0.289387783790091,0.464260929084115
7.88860905221012e-30,0.465496645701824,0.000195474549806967,0.534307879748369
8.67746995743113e-30,0.24572593983222,0.286723620866145,0.467550439301635
8.67746995743113e-30,0.46227862567877,0.00020981206827702,0.537511562252953
8.08582427851537e-30,0.245102324022415,0.284051002775724,0.47084667320186
8.08582427851537e-30,0.459063786202295,0.00022520120413707,0.540711012593568
1.12412678993994e-29,0.244480469244411,0.281369645904076,0.474149884851513
1.12412678993994e-29,0.455851959809061,0.000241719090618874,0.54390632110032
4.78246923790238e-30,0.24386040965414,0.278679262873169,0.477460327472691
4.78246923790238e-30,0.452642981673928,0.000259448518463751,0.547097569807608
5.71924156285234e-30,0.243242184309894,0.275979562574491,0.480778253115615
5.71924156285234e-30,0.449436689818668,0.000278478350885287,0.550284831830446
2.76101316827354e-30,0.242625837489408,0.273270250216923,0.48410391229367
2.76101316827354e-30,0.446232925341724,0.00029890396896841,0.553468170689308
3.5893171187556e-29,0.242011419031064,0.27055102739175,0.487437553577186
3.5893171187556e-29,0.443031532670739,0.000320827749737255,0.556647639579523
2.07075987620516e-29,0.241398984701013,0.267821592156243,0.490779423142745
2.07075987620516e-29,0.439832359839231,0.000344359579287984,0.559823280581481
5.71924156285234e-30,0.240788596588203,0.265081639136864,0.494129764274933
5.71924156285234e-30,0.4366352587885,0.000369617403558492,0.562995123807941
2.76101316827354e-30,0.240180323529216,0.262330859654752,0.497488816816032
2.76101316827354e-30,0.433440085696971,0.000396727819495533,0.566163186483534
1.18329135783152e-30,0.239574241565136,0.259568941875344,0.50085681655952
1.18329135783152e-30,0.430246701338619,0.000425826709582338,0.569327471951798
1.61716485570307e-29,0.238970434432848,0.256795570983846,0.504233994583306
1.61716485570307e-29,0.427054971472016,0.000457059922907077,0.572487968605077
7.09974814698911e-30,0.238368994093405,0.254010429388569,0.507620576518027
7.09974814698911e-30,0.423864767261777,0.000490584006185807,0.575644648732037
1.77493703674728e-30,0.237770021299983,0.25121319695588,0.511016781744137
1.77493703674728e-30,0.42067596573536,0.000526566988403938,0.578797467276236
8.33234331139694e-30,0.237173626208594,0.248403551278046,0.514422822513361
8.33234331139694e-30,0.417488450276399,0.000565189223008988,0.581946360500592
2.02145606962884e-30,0.236579929034724,0.245581167977241,0.517838902988035
2.02145606962884e-30,0.414302111157271,0.000606644291875847,0.585091244550853
1.57772181044202e-30,0.23598906075926,0.242745721049155,0.521265218191584
1.57772181044202e-30,0.411116846113488,0.000651139975575392,0.588232013910936
1.77493703674728e-30,0.235401163887536,0.239896883248948,0.524701952863516
1.77493703674728e-30,0.40793256096221,0.000698899294809639,0.59136853974298
3.3526588471893e-30,0.234816393265546,0.237034326522962,0.528149280211492
3.3526588471893e-30,0.404749170267495,0.000750161628233274,0.594500668104271
1.62702561701834e-30,0.23423491695756,0.2341577224907,0.53160736055174
1.62702561701834e-30,0.401566598055656,0.000805183912264317,0.59762821803208
4.93038065763132e-32,0.233656917190035,0.231266742979889,0.535076339830076
4.93038065763132e-32,0.398384778582923,0.000864241928897575,0.600750979488179
7.88860905221012e-31,0.233082591366747,0.228361060620139,0.538556348013114
7.88860905221012e-31,0.395203657159422,0.00092763168797567,0.603868711152602
0,0.232512153160813,0.225440349498775,0.542047497340412
0,0.392023191032114,0.000995670910845813,0.60698113805704
2.81031697484985e-30,0.231945833689511,0.222504285884144,0.545549880426345
2.81031697484985e-30,0.388843350330446,0.00106870062283872,0.610087949046715
5.17689969051289e-30,0.23138388277831,0.219552549022061,0.549063568199629
5.17689969051289e-30,0.38566411907871,0.00114708686255145,0.613188794058738
4.78246923790238e-30,0.230826570321354,0.216584822009671,0.552588607668975
4.78246923790238e-30,0.382485496278123,0.00123122251650142,0.616283281205375
1.36078506150625e-29,0.23027418774571,0.213600792754426,0.556125019499865
1.36078506150625e-29,0.379307497063787,0.00132152928834724,0.619370973647866
4.43734259186819e-31,0.229727049587894,0.210600155022986,0.55967279538912
4.43734259186819e-31,0.376130153939814,0.00141845981254645,0.622451386247639
9.86076131526265e-31,0.229185495191567,0.207582609587442,0.563231895220991
9.86076131526265e-31,0.372953518097495,0.00152249992304419,0.625523981979461
2.81031697484985e-30,0.228649890536087,0.204547865476461,0.566802243987453
2.81031697484985e-30,0.369777660821454,0.00163417108836395,0.628588168090182
4.93038065763132e-30,0.228120630206614,0.20149564133811,0.570383728455275
4.93038065763132e-30,0.366602674988059,0.00175403302530551,0.631643291986635
1.57772181044202e-30,0.227598139517279,0.198425666923176,0.573976193559545
1.57772181044202e-30,0.363428676661716,0.0018826865043504,0.634688636833934
1.02551917678732e-29,0.227082876800013,0.195337684697124,0.577579438502863
1.02551917678732e-29,0.360255806794082,0.00202077636083606,0.637723416845082
5.29029844563841e-29,0.226575335872607,0.192231451590596,0.581193212536797
5.29029844563841e-29,0.357084233032215,0.00216899472699136,0.640746772240794
3.16333222993626e-28,0.226076048701095,0.189106740897344,0.584817210401562
3.16333222993626e-28,0.353914151641047,0.00232808450103301,0.64375776385792
2.02145606962884e-30,0.225585588272766,0.185963344330187,0.588451067397047
2.02145606962884e-30,0.350745789546574,0.00249884307071058,0.646755367382715
3.3526588471893e-30,0.225104571697443,0.182801074245641,0.592094354056917
3.3526588471893e-30,0.347579406505733,0.00268212630996323,0.649738467184304
4.93038065763132e-30,0.224633663556609,0.179619766050284,0.595746570393107
4.93038065763132e-30,0.344415297411019,0.0028788528687203,0.652705849720261
4.93038065763132e-32,0.224173579521811,0.176419280798175,0.599407139680013
4.93038065763132e-32,0.34125379473472,0.00309000877734677,0.655656196487933
8.38164711797325e-31,0.223725090265488,0.173199507994451,0.60307540174006
8.38164711797325e-31,0.338095271121649,0.00331665238881222,0.658588076489539
2.80538659419222e-29,0.22328902568996,0.169960368617579,0.606750605692461
2.80538659419222e-29,0.334940142137363,0.00355991968335412,0.661499938179283
3.94430452610506e-30,0.222866279502535,0.166701818374984,0.610431902122481
3.94430452610506e-30,0.33178886918009,0.00382102996222365,0.664390100857687
2.81031697484985e-30,0.22245781416802,0.163423851204908,0.614118334627072
2.81031697484985e-30,0.328641962563623,0.0041012919590519,0.667256745477325
1.77493703674728e-30,0.222064666271892,0.160126503043465,0.617808830684644
1.77493703674728e-30,0.325499984781708,0.00440211039946807,0.670097904818824
1.62702561701834e-30,0.221687952332136,0.156809855869582,0.621502191798282
1.62702561701834e-30,0.32236355396103,0.0047249930418474,0.672911452997123
1.57772181044202e-30,0.221328875100762,0.15347404204614,0.625197082853098
1.57772181044202e-30,0.319233347513203,0.00507155823447864,0.675695094252319
1.78726298839135e-30,0.220988730400231,0.150119248975233,0.628892020624536
1.78726298839135e-30,0.316110105995808,0.00544354302702881,0.678446350977163
8.38164711797325e-31,0.220668914545562,0.146745724083061,0.632585361371377
8.38164711797325e-31,0.312994637191639,0.00584281187696156,0.6811625509314
2.28030105415449e-30,0.22037093240701,0.143353780155885,0.636275287437106
2.28030105415449e-30,0.309887820418557,0.00627136599454721,0.683840813586896
5.71924156285234e-30,0.220096406175408,0.139943801042822,0.63995979278177
5.71924156285234e-30,0.306790611079825,0.00673135337330354,0.686478035546872
1.39283253578085e-30,0.21984708489788,0.136516247746758,0.643636667355362
1.39283253578085e-30,0.303704045468056,0.00722507955614163,0.689070874975803
1.78726298839135e-30,0.219624854860267,0.133071664919342,0.64730348022039
1.78726298839135e-30,0.300629245833952,0.00775501919117889,0.69161573497487
1.10933564796705e-31,0.21943175089923,0.129610687783401,0.650957561317369
1.10933564796705e-31,0.297567425735096,0.00832382843513898,0.694108745829765
5.5713301431234e-30,0.219269968739156,0.12613404949504,0.654595981765804
5.5713301431234e-30,0.29451989567624,0.00893435826650681,0.696545746057253
1.68865537523873e-30,0.219141878456454,0.122642588969588,0.658215532573959
1.68865537523873e-30,0.291488069058818,0.00958966877516691,0.698922262166015
8.38164711797325e-31,0.219050039189103,0.11913725918127,0.661812701629627
8.38164711797325e-31,0.288473468452706,0.010293044500147,0.701233487047146
3.56220002513863e-30,0.218997215219903,0.115619135957111,0.665383648822986
3.56220002513863e-30,0.285477732209696,0.0110480108923432,0.703474256897961
1.5900477620861e-30,0.218986393579906,0.112089427272585,0.668924179147509
1.5900477620861e-30,0.282502621434774,0.0118583519847398,0.705639026580486
8.99794470017717e-31,0.219020803333384,0.108549483062933,0.672429713603683
8.99794470017717e-31,0.279550027336547,0.0127281293586919,0.707721843304761
8.0118685686509e-31,0.21910393672851,0.105000805549099,0.675895257722391
8.0118685686509e-31,0.276621978975503,0.0136617025013321,0.709716318523165
3.15544362088405e-30,0.219239572416116,0.101445060086523,0.679315367497361
3.15544362088405e-30,0.273720651435882,0.0146637506561361,0.711615597907982
3.08148791101958e-31,0.219431800969354,0.0978840865216667,0.68268411250898
3.08148791101958e-31,0.270848374442876,0.015739296276168,0.713412329280956
1.23259516440783e-30,0.219685052961017,0.0943199110494556,0.685995035989527
1.23259516440783e-30,0.268007641454875,0.0168937301975558,0.715098628347569
1.09700969632297e-30,0.220004129893439,0.0907547585381578,0.689241111568403
1.09700969632297e-30,0.265201119257512,0.0181328386593721,0.716666042083116
1.23259516440783e-30,0.220394238308099,0.0871910652929472,0.692414696398954
1.23259516440783e-30,0.262431658094915,0.0194628323053478,0.718105509599737
1.77493703674728e-30,0.220861027449919,0.0836314921988818,0.695507480351199
1.77493703674728e-30,0.259702302371978,0.0208903773127824,0.71940732031524
9.86076131526265e-31,0.221410630909031,0.0800789381697389,0.698510430921231
9.86076131526265e-31,0.257016301966844,0.022422628804673,0.720561069228483
0,0.222049712718835,0.076536553807606,0.701413733473559
0,0.254377124197633,0.0240672667125316,0.721555609089836
2.28030105415449e-30,0.222785518452066,0.0730077551550947,0.70420672639284
2.28030105415449e-30,0.251788466493432,0.0258325342696399,0.722378999236928
4.93038065763132e-32,0.223625931939372,0.0694962373651821,0.706877830695446
4.93038065763132e-32,0.249254269819056,0.0277272793276793,0.723018450853265
8.39397306961733e-30,0.224579538312017,0.0660059880968245,0.709414473591159
8.39397306961733e-30,0.246778732915667,0.0297609987038205,0.723460268380513
1.23259516440783e-30,0.225655694174271,0.0625413003808831,0.711803005444846
1.23259516440783e-30,0.244366327422375,0.0319438857805504,0.723689786797075
1.53951136034538e-29,0.226864605832014,0.0591067846268044,0.714028609541182
1.53951136034538e-29,0.242021813949231,0.0342868815968148,0.723691304453954
4.5482761566649e-30,0.228217416600221,0.0557073794437987,0.716075203955981
4.5482761566649e-30,0.239750259190045,0.0368017296865548,0.723448011123401
1.97215226305253e-31,0.229726304501493,0.0523483605864788,0.717925334912028
1.97215226305253e-31,0.237557054138632,0.039501034939499,0.722941910921869
2.43978920488277e-24,0.231404600946897,0.0490353314044034,0.7195600676487
2.43978920488277e-24,0.23544793294855,0.0423983267792322,0.722153740272218
