activity,p_p_sat,phi_solvent,phi_polymer,swelling_ratio_Q,volume_expansion_pct
0.001,0.001,0.5,0.5,2.0,100.0
0.001090740700614657,0.001090740700614657,0.5,0.5,2.0,100.0
0.0011897152759773526,0.0011897152759773526,0.5,0.5,2.0,100.0
0.001297670873651496,0.001297670873651496,0.5,0.5,2.0,100.0
0.0014154224378938667,0.0014154224378938667,0.5,0.5,2.0,100.0
0.0015438588615740618,0.0015438588615740618,0.5,0.5,2.0,100.0
0.001683949696323437,0.001683949696323437,0.5,0.5,2.0,100.0
0.0018367524715676643,0.0018367524715676643,0.5,0.5,2.0,100.0
0.0020034206776934167,0.0020034206776934167,0.5,0.5,2.0,100.0
0.0021852124736132083,0.0021852124736132083,0.5,0.5,2.0,100.0
0.002383500184460758,0.002383500184460758,0.5,0.5,2.0,100.0
0.0025997806611138888,0.0025997806611138888,0.5,0.5,2.0,100.0
0.002835686579747799,0.002835686579747799,0.5,0.5,2.0,100.0
0.003092998766717694,0.003092998766717694,0.5,0.5,2.0,100.0
0.003373659641809924,0.003373659641809924,0.5,0.5,2.0,100.0
0.0036797878813431485,0.0036797878813431485,0.5,0.5,2.0,100.0
0.00401369441180955,0.00401369441180955,0.5,0.5,2.0,100.0
0.004377899854790281,0.004377899854790281,0.5,0.5,2.0,100.0
0.004775153554834756,0.004775153554834756,0.5,0.5,2.0,100.0
0.005208454333943026,0.005208454333943026,0.5,0.5,2.0,100.0
0.005681073129324463,0.005681073129324463,0.5,0.5,2.0,100.0
0.006196577685322465,0.006196577685322465,0.5,0.5,2.0,100.0
0.0067588594859017675,0.0067588594859017675,0.5,0.5,2.0,100.0
0.007372163131008514,0.007372163131008514,0.5,0.5,2.0,100.0
0.008041118378561769,0.008041118378561769,0.5,0.5,2.0,100.0
0.008770775093957857,0.008770775093957857,0.5,0.5,2.0,100.0
0.009566641370917176,0.009566641370917176,0.5,0.5,2.0,100.0
0.010434725111443352,0.010434725111443352,0.5,0.5,2.0,100.0
0.011381579378777075,0.011381579378777075,0.5,0.5,2.0,100.0
0.012414351865708637,0.012414351865708637,0.5,0.5,2.0,100.0
0.013540838851679905,0.013540838851679905,0.5,0.5,2.0,100.0
0.014769544055991499,0.014769544055991499,0.5,0.5,2.0,100.0
0.01610974283139121,0.01610974283139121,0.5,0.5,2.0,100.0
0.017571552182633593,0.017571552182633593,0.5,0.5,2.0,100.0
0.01916600713857276,0.01916600713857276,0.5,0.5,2.0,100.0
0.020905144054312354,0.020905144054312354,0.5,0.5,2.0,100.0
0.02280209147225099,0.02280209147225099,0.5,0.5,2.0,100.0
0.024871169227922534,0.024871169227922534,0.5,0.5,2.0,100.0
0.027127996548769906,0.027127996548769906,0.5,0.5,2.0,100.0
0.029589609961877265,0.029589609961877265,0.5,0.5,2.0,100.0
0.03227459190073244,0.03227459190073244,0.5,0.5,2.0,100.0
0.03520321098185703,0.03520321098185703,0.5,0.5,2.0,100.0
0.0383975750102363,0.0383975750102363,0.5,0.5,2.0,100.0
0.041881797868568965,0.041881797868568965,0.5,0.5,2.0,100.0
0.045682181550164354,0.045682181550164354,0.5,0.5,2.0,100.0
0.04982741470963222,0.04982741470963222,0.5,0.5,2.0,100.0
0.054348789230201276,0.054348789230201276,0.5,0.5,2.0,100.0
0.05928043644250803,0.05928043644250803,0.5,0.5,2.0,100.0
0.06465958477804384,0.06465958477804384,0.5,0.5,2.0,100.0
0.07052684080225635,0.07052684080225635,0.5,0.5,2.0,100.0
0.07692649574879142,0.07692649574879142,0.5,0.5,2.0,100.0
0.08390685986886713,0.08390685986886713,0.5,0.5,2.0,100.0
0.09152062711974397,0.09152062711974397,0.5,0.5,2.0,100.0
0.09982527294528232,0.09982527294528232,0.5,0.5,2.0,100.0
0.10888348815138647,0.10888348815138647,0.5,0.5,2.0,100.0
0.11876365215161097,0.11876365215161097,0.5,0.5,2.0,100.0
0.12954034915540355,0.12954034915540355,0.5,0.5,2.0,100.0
0.14129493119563213,0.14129493119563213,0.5,0.5,2.0,100.0
0.15411613224562354,0.15411613224562354,0.5,0.5,2.0,100.0
0.16810073806161235,0.16810073806161235,0.5,0.5,2.0,100.0
0.183354316807164,0.183354316807164,0.5,0.5,2.0,100.0
0.1999920159749678,0.1999920159749678,0.5,0.5,2.0,100.0
0.21813943162187382,0.21813943162187382,0.5,0.5,2.0,100.0
0.23793355647892567,0.23793355647892567,0.5,0.5,2.0,100.0
0.2595238140935604,0.2595238140935604,0.5,0.5,2.0,100.0
0.28307318681059807,0.28307318681059807,0.5,0.5,2.0,100.0
0.3087594461070154,0.3087594461070154,0.5,0.5,2.0,100.0
0.336776494568159,0.336776494568159,0.5,0.5,2.0,100.0
0.36733582963582195,0.36733582963582195,0.5,0.5,2.0,100.0
0.40066814017784264,0.40066814017784264,0.5,0.5,2.0,100.0
0.4370250479315512,0.4370250479315512,0.5,0.5,2.0,100.0
0.47668100696701415,0.47668100696701415,0.5,0.5,2.0,100.0
0.5199353755089011,0.5199353755089011,0.5,0.5,2.0,100.0
0.5671146757569235,0.5671146757569235,0.5,0.5,2.0,100.0
0.6185750587639608,0.6185750587639608,0.2625032529419948,0.7374967470580052,1.3559381841196767,35.59381841196767
0.6747049929789545,0.6747049929789545,0.30133437007841996,0.6986656299215801,1.4312998338164171,43.129983381641715
0.7359281967500719,0.7359281967500719,0.3501588003735229,0.649841199626477,1.5388374891816512,53.88374891816512
0.8027068369252545,0.8027068369252545,0.41449855656615303,0.585501443433847,1.707937719393488,70.79377193934879
0.8755450176960263,0.8755450176960263,0.5068210926289382,0.49317890737106185,2.027661737057242,102.76617370572421
0.954992586021436,0.954992586021436,0.6713516978983756,0.32864830210162443,3.042766366371735,204.2766366371735
