residual,phi1,phi3,phi2
2.00768418932876e-12,0.156064850326539,0.122242518892165,0.721692630781296
2.00768418932876e-12,0.207063596328105,1e-05,0.792926403671895
4.52042285349821e-12,0.156099011562775,0.120953496013847,0.722947492423377
4.52042285349821e-12,0.206456980932695,1.19092225503921e-05,0.793531109844754
2.21261193410857e-11,0.156077364275824,0.119907037961469,0.724015597762707
2.21261193410857e-11,0.20589564755858,1.41829581754768e-05,0.794090169483245
3.36374033449995e-12,0.156221658945541,0.118074098378149,0.72570424267631
3.36374033449995e-12,0.205175969717919,1.68908005334656e-05,0.794807139481547
3.86736713792184e-07,0.147239552490404,0.164708920805834,0.688051526703762
3.86736713792184e-07,0.215896061152736,2.01156302607324e-05,0.784083823217003
6.27457904951554e-10,0.155617260374382,0.118529690572487,0.725853049053131
6.27457904951554e-10,0.204544583200026,2.39561517516464e-05,0.795431460648223
1.68967365644415e-10,0.156033313932462,0.115350941632793,0.728615744434745
1.68967365644415e-10,0.203543712639863,2.85299142661323e-05,0.796427757445871
1.89557229398758e-07,0.148757832564595,0.152940490437539,0.698301676997867
1.89557229398758e-07,0.212033472478973,3.39769098338976e-05,0.787932550611193
1.98054111907248e-09,0.155151934933898,0.117084880100351,0.727763184965751
1.98054111907248e-09,0.203157812622538,4.04638580786492e-05,0.796801723519384
1.08311531407149e-08,0.153651005381327,0.123378477273826,0.722970517344847
1.08311531407149e-08,0.204149175382517,4.81893091106115e-05,0.795802635308372
2.03036950048834e-08,0.152813391433971,0.126565981760995,0.720620626805034
2.03036950048834e-08,0.2045350285449,5.73897206747912e-05,0.795407581734425
2.88200761623475e-09,0.154952848704428,0.114201128253767,0.730846023041805
2.88200761623475e-09,0.201440999145997,6.83466955620927e-05,0.798490654158441
4.15015041099552e-09,0.154656528032982,0.114424603200105,0.730918868766913
4.15015041099552e-09,0.201129349724387,8.13956008032858e-05,0.798789254674809
2.63532433276499e-11,0.156762782043467,0.102858618082244,0.740378599874289
2.63532433276499e-11,0.198416818575759,9.69358324589205e-05,0.801486245591782
3.89567977301788e-10,0.156215961273013,0.104039329702356,0.739744709024631
3.89567977301788e-10,0.198232473736108,0.000115443040186081,0.801652083223705
5.05949772017045e-12,0.157058726389558,0.0986861023751261,0.744255171235316
5.05949772017045e-12,0.196806614247454,0.000137483685746989,0.803055902066799
3.07713999876015e-08,0.151977810640696,0.123436440351946,0.724585749007358
3.07713999876015e-08,0.201717905958905,0.000163732381060907,0.798118361660034
8.4525112976186e-12,0.157207781333808,0.0950931557319442,0.747699062934248
8.4525112976186e-12,0.195284504982598,0.000194992536475995,0.804520502480926
1.01692532429204e-11,0.157288787341194,0.0932299976459563,0.74948121501285
