residual,phi1_L8Bo,phi3_Donor,phi2_Chloroform
1.1379318557813095e-28,0.4094061466658983,0.49665994661046053,0.09393390672364124
1.1379318557813095e-28,0.8961640690773401,1e-05,0.10382593092265986
1.2818989709841442e-29,0.409706198060974,0.49417906375884524,0.09611473818018078
1.2818989709841442e-29,0.8937993044868575,1.0756371010671643e-05,0.10618993914213182
5.098013599990789e-29,0.41000886941001674,0.4916892726162507,0.09830185797373249
5.098013599990789e-29,0.8914298611999175,1.1569951731921753e-05,0.10855856884835056
5.058570554729738e-29,0.4103142058306025,0.4891904355508457,0.10049535861855181
5.058570554729738e-29,0.8890556598627812,1.2445069340411331e-05,0.11093189506787836
5.191690832485784e-29,0.4106222535871752,0.48668241168410425,0.10269533472872057
5.191690832485784e-29,0.8866766191418793,1.338637830789989e-05,0.11330999447981276
5.191690832485784e-29,0.4109330601452415,0.484165056798264,0.10490188305649457
5.191690832485784e-29,0.8842926556779496,1.439888515689781e-05,0.11569294543689354
2.029344678681053e-28,0.4112466742275709,0.48163822324142824,0.10711510253100086
2.029344678681053e-28,0.8819036840387421,1.548797508876461e-05,0.11808082798616915
1.3016204936146695e-29,0.41156314587241033,0.47910175983037406,0.10933509429721563
1.3016204936146695e-29,0.8795096166702581,1.6659440625879222e-05,0.12047372388911605
1.326272396902826e-29,0.411882526494037,0.4765555117507454,0.11156196175521758
1.326272396902826e-29,0.8771103638464177,1.791951242022127e-05,0.12287171664116206
1.2671078290112502e-29,0.41220486894553054,0.47399932045500826,0.1137958105994612
1.2671078290112502e-29,0.8747058336172955,1.9274892392223894e-05,0.1252748914903123
1.3509243001909827e-29,0.4125302275841324,0.47143302355769523,0.11603674885817239
1.3509243001909827e-29,0.8722959317556881,2.0732789376153246e-05,0.12768333545493576
1.3459939195333514e-29,0.41285865833914676,0.4688564547282884,0.11828488693256489
1.3459939195333514e-29,0.8698805617021803,2.230095746160158e-05,0.13009713734035808
1.2818989709841442e-29,0.413190218782652,0.4662694435814764,0.1205403376358717
1.2818989709841442e-29,0.8674596245085604,2.398773723501932e-05,0.13251638775420457
1.2671078290112502e-29,0.41352496820313683,0.4636718155648641,0.12280321623199913
1.2671078290112502e-29,0.8650330187796154,2.5802100140637056e-05,0.134941179120244
1.385436964794402e-29,0.4138629676821669,0.4610633918442214,0.12507364047361166
1.385436964794402e-29,0.8626006406133195,2.7753696196719513e-05,0.13737160569048373
5.058570554729738e-29,0.4142042801744266,0.458443989185968,0.12735173063960542
5.058570554729738e-29,0.8601623835392649,2.985290532093816e-05,0.1398077635554142
1.326272396902826e-29,0.4145489705910459,0.45581341983741935,0.12963760957153475
1.326272396902826e-29,0.8577181384555642,3.211089253784651e-05,0.14224975065189793
1.4593926746588718e-29,0.41489710588674933,0.45317149140413304,0.1319314027091176
1.4593926746588718e-29,0.8552677935638704,3.453966736208846e-05,0.14469766676876752
3.2047474274603605e-30,0.41524875515070037,0.4505180067250582,0.13423323812424143
3.2047474274603605e-30,0.8528112343028506,3.7152147673180975e-05,0.14715161354947626
6.409494854920721e-31,0.4156039897014612,0.447852763745112,0.1365432465534268
6.409494854920721e-31,0.8503483432798938,3.9962228421599575e-05,0.14961169449168457
1.34106353887572e-29,0.41596288318628016,0.445175555385268,0.13886156142845188
1.34106353887572e-29,0.8478790002010578,4.2984855531593296e-05,0.15207801494341064
1.9721522630525295e-31,0.4163255116848123,0.4424861694105007,0.14118831890468697
1.9721522630525295e-31,0.8454030817994036,4.6236105393793874e-05,0.15455068209520262
1.3016204936146695e-29,0.4166919538177435,0.4397843882952499,0.1435236578870066
1.3016204936146695e-29,0.8429204617615105,4.973327037041632e-05,0.1570298049681191
1.4199496293978212e-29,0.41706229086037866,0.43706998908691075,0.14586772005271056
1.4199496293978212e-29,0.8404310106523802,5.349495076782422e-05,0.15951549439685195
6.508102468073347e-30,0.4174366068616145,0.4343427432671832,0.14822064987120237
6.508102468073347e-30,0.8379345958385879,5.754115376563311e-05,0.1620078630076465
1.3607850615062454e-29,0.417814988768585,0.4316024166115428,0.15058259461987217
1.3607850615062454e-29,0.835431081409813,6.189339982852554e-05,0.16450702519035842
3.3526588471893e-30,0.41819752655725123,0.42884876904697444,0.15295370439577424
3.3526588471893e-30,0.8329203280986971,6.657483716674628e-05,0.16701309706413617
1.34106353887572e-29,0.41858431336928087,0.42608155450825136,0.1553341321224678
1.34106353887572e-29,0.8304021931991677,7.161036485405746e-05,0.1695261964359782
3.3526588471893e-30,0.4189754456556974,0.42330052079266434,0.15772403355163836
3.3526588471893e-30,0.827876530483071,7.702676525798032e-05,0.17204644275167105
2.5637979419682884e-30,0.41937102332751847,0.42050540941386916,0.1601235672586123
2.5637979419682884e-30,0.8253431901154255,8.285284648667492e-05,0.17457395703808787
0.0,0.4197711499138931,0.41769595545484295,0.162532894631264
0.0,0.8228020185681677,8.911959561008997e-05,0.1771088618362222
4.733165431326071e-30,0.42017593272820325,0.41487188742024494,0.16495217985155178
4.733165431326071e-30,0.8202528585324743,9.586034347031516e-05,0.17965128112405537
1.3016204936146695e-29,0.42058548304248045,0.41203292708877004,0.16738158986874954
1.3016204936146695e-29,0.8176955488298658,0.00010311094195771247,0.18220134022817644
9.860761315262648e-31,0.4209999162707166,0.4091787893656925,0.16982129436359097
9.860761315262648e-31,0.8151299243220774,0.00011090995469569859,0.18475916572322687
1.262177448353619e-29,0.4214193521616414,0.4063091821359488,0.17227146570240978
1.262177448353619e-29,0.8125558158197603,0.00011929886214837187,0.1873248853180913
2.938506871948269e-29,0.42184391500134916,0.40342380611863377,0.17473227888001713
2.938506871948269e-29,0.8099730499903458,0.00012832228224188597,0.1898986277274123
1.2818989709841442e-29,0.42227373382658934,0.4005223547229595,0.1772039114504511
1.2818989709841442e-29,0.8073814492649353,0.00013802820767298482,0.19248052252739176
4.141519752410312e-30,0.42270894264920705,0.3976045139066311,0.17968654344416193
4.141519752410312e-30,0.8047808317445715,0.00014846826116686606,0.19507069999426163
2.859620781426168e-29,0.4231496806924339,0.39466996203723753,0.1821803572703285
2.859620781426168e-29,0.8021710111060265,0.00015969797004201043,0.19766929092393148
1.4199496293978212e-29,0.4235960926398533,0.3917183697571872,0.1846855376029595
1.4199496293978212e-29,0.7995517965071883,0.00017177706154229895,0.20027642643126936
4.141519752410312e-30,0.4240483288976297,0.38874939985336515,0.18720227124900507
4.141519752410312e-30,0.7969229924924536,0.0001847697805071945,0.20289223772703924
1.2818989709841442e-29,0.4245065458710633,0.38576270713195315,0.18973074699698353
1.2818989709841442e-29,0.7942843988981471,0.00019874523106957513,0.20551685587078336
