residual,phi1,phi3,phi2
0,0.987059455086599,0.0127737492336679,0.000166795679733163
0,0.986502085195997,0.0125610118658203,0.000936902938182991
0,0.98566889087573,0.0126724234548626,0.00165868566940769
0,0.984835696555463,0.0127047291930705,0.00245957425146664
0,0.984002502235196,0.0127192773156589,0.00327822044914503
0,0.983169307914929,0.0127270135170176,0.00410367856805329
0,0.982336113594662,0.012731423070051,0.00493246333528677
0,0.981502919274395,0.0127339615953342,0.00576311913027054
0,0.980669724954128,0.0127353447675813,0.00659493027829033
0,0.979836530633861,0.0127359654845845,0.00742750388155408
0,0.979003336313595,0.0127360574035838,0.00826060628282151
0,0.978170141993328,0.0127357681980431,0.00909408980862903
0,0.977336947673061,0.012735195780705,0.00992785654623411
0,0.976503753352794,0.0127344076376822,0.0107618390095238
0,0.975670559032527,0.0127334517980389,0.011595989169434
0,0.97483736471226,0.0127323633767808,0.012430271910959
0,0.974004170391993,0.0127311686439156,0.0132646609640912
0,0.973170976071726,0.0127298876461932,0.0140991362820804
0,0.97233778175146,0.0127285359485088,0.0149336823000316
0,0.971504587431193,0.0127271258215617,0.0157682867472457
0,0.970671393110926,0.0127256670708607,0.0166029398182134
0,0.969838198790659,0.0127241676273813,0.0174376335819599
0,0.969005004470392,0.0127226339761657,0.0182723615534423
0,0.968171810150125,0.0127210714724731,0.0191071183774019
0,0.967338615829858,0.0127194845784574,0.0199418995916843
0,0.966505421509591,0.0127178770427419,0.0207767014476667
0,0.965672227189324,0.0127162520383437,0.0216115207723319
0,0.964839032869058,0.0127146122697981,0.0224463548611443
0,0.964005838548791,0.0127129600572204,0.023281201393989
0,0.963172644228524,0.0127112974028955,0.0241160583685807
0,0.962339449908257,0.0127096260444919,0.0249509240472513
0,0.96150625558799,0.0127079474979319,0.0257857969140782
0,0.960673061267723,0.0127062630921909,0.0266206756400859
0,0.959839866947456,0.0127045739977443,0.0274555590547996
0,0.959006672627189,0.0127028812499744,0.0282904461228362
0,0.958173478306922,0.0127011857685505,0.0291253359245271
0,0.957340283986656,0.0126994883735666,0.0299602276397778
0,0.956507089666389,0.0126977897990527,0.0307951205345588
0,0.955673895346122,0.0126960907043462,0.031630013949532
0,0.954840701025855,0.0126943916837071,0.0324649072904379
0,0.954007506705588,0.0126926932744869,0.0332998000199251
0,0.953174312385321,0.0126909959640976,0.0341346916505813
0,0.952341118065054,0.0126893001959826,0.0349695817389632
0,0.951507923744787,0.0126876063747517,0.035804469880461
0,0.95067472942452,0.0126859148706137,0.0366393557048659
0,0.949841535104254,0.0126842260232165,0.03747423887253
0,0.949008340783987,0.0126825401449847,0.0383091190710285
0,0.94817514646372,0.0126808575240305,0.0391439960122498
0,0.947341952143453,0.0126791784266986,0.0399788694298484
0,0.946508757823186,0.0126775030998004,0.0408137390770136
0,0.945675563502919,0.0126758317725775,0.0416486047245033
0,0.944842369182652,0.0126741646584354,0.0424834661589125
0,0.944009174862385,0.0126725019564751,0.0433183231811395
0,0.943175980542118,0.0126708438528526,0.0441531756050289
0,0.942342786221852,0.0126691905219851,0.0449880232561634
0,0.941509591901585,0.0126675421276272,0.0458228659707882
0,0.940676397581318,0.01266589882383,0.0466577035948523
0,0.939843203261051,0.0126642607558001,0.0474925359831491
0,0.939010008940784,0.0126626280606691,0.048327362998547
0,0.938176814620517,0.0126610008681846,0.0491621845112982
0,0.93734362030025,0.0126593793013324,0.0499970003984175
0,0.936510425979983,0.0126577634768971,0.0508318105431196
0,0.935677231659717,0.012656153505968,0.0516666148343155
0,0.93484403733945,0.0126545494943978,0.0525014131661527
0,0.934010843019183,0.0126529515432171,0.0533362054376002
0,0.933177648698916,0.0126513597490114,0.0541709915520729
0,0.932344454378649,0.0126497742042631,0.055005771417088
0,0.931511260058382,0.0126481949976635,0.0558405449439546
0,0.930678065738115,0.0126466222143969,0.0566753120474881
0,0.929844871417848,0.0126450559363997,0.057510072645752
0,0.929011677097581,0.0126434962425981,0.0583448266598206
0,0.928178482777315,0.0126419432091248,0.0591795740135606
0,0.927345288457047,0.0126403969095183,0.0600143146334342
0,0.926512094136781,0.0126388574149052,0.0608490484483141
0,0.925678899816514,0.0126373247941682,0.0616837753893181
0,0.924845705496247,0.0126357991141009,0.0625184953896522
0,0.92401251117598,0.0126342804395494,0.0633532083844706
0,0.923179316855713,0.0126327688335437,0.0641879143107432
0,0.922346122535446,0.0126312643574189,0.0650226131071348
0,0.921512928215179,0.012629767070927,0.0658573047138937
0,0.920679733894912,0.0126282770323404,0.0666919890727472
0,0.919846539574645,0.0126267942985475,0.0675266661268071
0,0.919013345254379,0.0126253189251419,0.0683613358204795
0,0.918180150934112,0.0126238509665049,0.0691959980993833
0,0.917346956613845,0.0126223904758814,0.0700306529102738
0,0.916513762293578,0.0126209375054519,0.07086530020097
0,0.915680567973311,0.0126194921063982,0.0716999399202908
0,0.914847373653044,0.0126180543289652,0.0725345720179906
0,0.914014179332777,0.0126166242225184,0.0733691964447044
0,0.91318098501251,0.0126152018355974,0.0742038131518921
0,0.912347790692244,0.0126137872159664,0.07503842209179
