residual,phi1_L8Bo,phi3_PM6,phi2_oXy
4.97052928876732e-09,0.531705805771608,0.393026376345454,0.0752678178829384
4.97052928876732e-09,0.893888051904079,1e-05,0.106101948095921
1.7666253222341e-09,0.535385047019996,0.390005056841826,0.0746098961381777
1.7666253222341e-09,0.895173813869694,1.19092225503921e-05,0.104814276907756
2.00529218702025e-09,0.538774806238222,0.387265222256427,0.0739599715053514
2.00529218702025e-09,0.896411067807204,1.41829581754768e-05,0.10357474923462
1.00607769136197e-08,0.545132630063119,0.382205513748557,0.0726618561883245
1.00607769136197e-08,0.898819089448094,2.01156302607324e-05,0.101160794921645
8.78258630466608e-09,0.548817879355534,0.379206923415853,0.071975197228613
8.78258630466608e-09,0.90011175750557,2.39561517516464e-05,0.0998642863426786
9.49743821329329e-09,0.55244873585756,0.376266707104855,0.0712845570375849
9.49743821329329e-09,0.901395639390468,2.85299142661323e-05,0.0985758306952658
3.70096699214537e-09,0.55669256106399,0.372751826339161,0.070555612596849
3.70096699214537e-09,0.902778757860029,3.39769098338976e-05,0.0971872652301372
3.9961908068831e-09,0.560509577762243,0.36965143816877,0.0698389840689868
3.9961908068831e-09,0.904095297588871,4.04638580786492e-05,0.0958642385530502
3.05742649588413e-09,0.564559259818634,0.366338342901941,0.069102397279425
3.05742649588413e-09,0.90544929260673,4.81893091106115e-05,0.0945025180841594
7.96412466070365e-10,0.605500829492643,0.00585318163780052,0.388645988869557
7.96412466070365e-10,0.608637869353399,0.0013327095527405,0.39002942109386
1.06944373209944e-09,0.617014236498744,0.00545271286591809,0.377533050635337
1.06944373209944e-09,0.619721466004488,0.00158715346586202,0.37869138052965
