residual,phi1_L8Bo,phi2_Solvent,phi3_Donor
2.31210719573296e-24,0.988776409119477,0.011213590880523,1e-05
2.12652233607377e-23,0.975384256882156,0.0246050068142502,1.07363035941753e-05
5.0847632019734e-29,0.962497063923768,0.0374914092547454,1.15268214866301e-05
5.10417657581283e-29,0.950075103423277,0.0499125210312275,1.23755454956324e-05
2.46519032881566e-31,0.938081821862152,0.0619048913764897,1.32867613584638e-05
4.94824207089924e-25,0.926483870752597,0.0735018641770301,1.42650703727824e-05
1.10343509165551e-25,0.915250978412774,0.0847337061745945,1.53154126314467e-05
2.38836143962296e-26,0.904355740586991,0.0956278163210413,1.64430919681279e-05
7.57726783963234e-27,0.893773377131688,0.106208969065572,1.76538027396766e-05
2.65423344918089e-27,0.883481482114753,0.116499564226666,1.89536585804851e-05
7.10467852764674e-28,0.873459782513935,0.126519868262791,2.03492232740434e-05
4.54433185213879e-28,0.863689913278705,0.136288239177398,2.18475438975787e-05
1.34599391953335e-29,0.854155212116139,0.145821331697454,2.34561864071477e-05
5.05364017407211e-29,0.844840534810113,0.155134281916044,2.51832738428705e-05
3.94430452610506e-31,0.83573209046612,0.164240872006533,2.70375273472311e-05
5.068431316045e-29,0.826817295340151,0.173153676349645,2.9028310203569e-05
1.28682935164178e-29,0.818084643589395,0.181884190735488,3.11656751171413e-05
2.46519032881566e-31,0.809523593192956,0.190442946392067,3.34604149775063e-05
3.20474742746036e-30,0.801124465338822,0.19883961054382,3.59241173585597e-05
1.27203820966888e-29,0.792878355684473,0.207083075092496,3.8569223031428e-05
2.6131017485446e-30,0.784777056045199,0.215181534866016,4.14090887856868e-05
9.86076131526265e-31,0.776812985216909,0.223142556728215,4.44580548761293e-05
7.88860905221012e-31,0.768979127790616,0.230973140691948,4.77315174356629e-05
1.62702561701834e-30,0.761268979955329,0.238679774038451,5.12460062199949e-05
3.94430452610506e-31,0.75367650141418,0.246268479317743,5.50192680766859e-05
2.46519032881566e-31,0.746196072650935,0.253744856992505,5.90703565600616e-05
9.86076131526265e-31,0.738822456885009,0.261114123386846,6.34197281445006e-05
2.02145606962884e-30,0.731550766139982,0.268381144514496,6.8089345521942e-05
1.57772181044202e-30,0.724376430926605,0.27555046628489,7.3102788505227e-05
0,0.717295173107565,0.282626341519337,7.84853730972904e-05
9.86076131526265e-31,0.710302981566981,0.289612754153691,8.42642793274627e-05
1.42981039071308e-30,0.703396090358681,0.296513440952818,9.04686885004028e-05
3.57788060778216e-25,0.696570959049912,0.303331911019537,9.71299305507199e-05
5.71924156285234e-30,0.689824254997545,0.310071463360207,0.000104281642247369
3.3526588471893e-30,0.683152837385248,0.316735202677706,0.000111959937046693
1.28189897098414e-29,0.676553742757749,0.3233260536548,0.000120203587451805
2.027372526418e-28,0.670024171960795,0.329846773818405,0.000129054220799157
5.12759588393658e-30,0.663561478297005,0.336299965173534,0.000138556529460948
7.29696337329436e-30,0.657163156785945,0.34268808471753,0.000148758496524804
9.86076131526265e-31,0.650826834411939,0.34901345394997,0.000159711638090336
1.59744333307255e-29,0.644550261263851,0.355278267472742,0.000171471263406089
2.40602576092409e-29,0.638331302477381,0.361484600768459,0.000184096754160458
1.12925438582388e-27,0.632167930904853,0.36763441723081,0.000197651864336893
1.35881290924319e-28,0.626058220442781,0.373729574515071,0.000212205042147563
1.77493703674728e-30,0.620000339960456,0.379771830263873,0.000227829775671099
3.94430452610506e-31,0.613992547771845,0.385762847264215,0.000244604963939777
2.73340303659081e-28,0.608033186607098,0.391704198077552,0.000262615315349975
