residual,phi1_L8Bo,phi2_Solvent,phi3_Donor
1.1379318557813095e-28,0.8961640690773401,0.10382593092265986,1e-05
1.2818989709841442e-29,0.8937993044868575,0.10618993914213182,1.0756371010671643e-05
5.098013599990789e-29,0.8914298611999175,0.10855856884835056,1.1569951731921753e-05
5.058570554729738e-29,0.8890556598627812,0.11093189506787836,1.2445069340411331e-05
5.191690832485784e-29,0.8866766191418793,0.11330999447981276,1.338637830789989e-05
5.191690832485784e-29,0.8842926556779496,0.11569294543689354,1.439888515689781e-05
2.029344678681053e-28,0.8819036840387421,0.11808082798616915,1.548797508876461e-05
1.3016204936146695e-29,0.8795096166702581,0.12047372388911605,1.6659440625879222e-05
1.326272396902826e-29,0.8771103638464177,0.12287171664116206,1.791951242022127e-05
1.2671078290112502e-29,0.8747058336172955,0.1252748914903123,1.9274892392223894e-05
1.3509243001909827e-29,0.8722959317556881,0.12768333545493576,2.0732789376153246e-05
1.3459939195333514e-29,0.8698805617021803,0.13009713734035808,2.230095746160158e-05
1.2818989709841442e-29,0.8674596245085604,0.13251638775420457,2.398773723501932e-05
1.2671078290112502e-29,0.8650330187796154,0.134941179120244,2.5802100140637056e-05
1.385436964794402e-29,0.8626006406133195,0.13737160569048373,2.7753696196719513e-05
5.058570554729738e-29,0.8601623835392649,0.1398077635554142,2.985290532093816e-05
1.326272396902826e-29,0.8577181384555642,0.14224975065189793,3.211089253784651e-05
1.4593926746588718e-29,0.8552677935638704,0.14469766676876752,3.453966736208846e-05
3.2047474274603605e-30,0.8528112343028506,0.14715161354947626,3.7152147673180975e-05
6.409494854920721e-31,0.8503483432798938,0.14961169449168457,3.9962228421599575e-05
1.34106353887572e-29,0.8478790002010578,0.15207801494341064,4.2984855531593296e-05
1.9721522630525295e-31,0.8454030817994036,0.15455068209520262,4.6236105393793874e-05
1.3016204936146695e-29,0.8429204617615105,0.1570298049681191,4.973327037041632e-05
1.4199496293978212e-29,0.8404310106523802,0.15951549439685195,5.349495076782422e-05
6.508102468073347e-30,0.8379345958385879,0.1620078630076465,5.754115376563311e-05
1.3607850615062454e-29,0.835431081409813,0.16450702519035842,6.189339982852554e-05
3.3526588471893e-30,0.8329203280986971,0.16701309706413617,6.657483716674628e-05
1.34106353887572e-29,0.8304021931991677,0.1695261964359782,7.161036485405746e-05
3.3526588471893e-30,0.827876530483071,0.17204644275167105,7.702676525798032e-05
2.5637979419682884e-30,0.8253431901154255,0.17457395703808787,8.285284648667492e-05
0.0,0.8228020185681677,0.1771088618362222,8.911959561008997e-05
4.733165431326071e-30,0.8202528585324743,0.17965128112405537,9.586034347031516e-05
1.3016204936146695e-29,0.8176955488298658,0.18220134022817644,0.00010311094195771247
9.860761315262648e-31,0.8151299243220774,0.18475916572322687,0.00011090995469569859
1.262177448353619e-29,0.8125558158197603,0.1873248853180913,0.00011929886214837187
2.938506871948269e-29,0.8099730499903458,0.1898986277274123,0.00012832228224188597
1.2818989709841442e-29,0.8073814492649353,0.19248052252739176,0.00013802820767298482
4.141519752410312e-30,0.8047808317445715,0.19507069999426163,0.00014846826116686606
2.859620781426168e-29,0.8021710111060265,0.19766929092393148,0.00015969797004201043
1.4199496293978212e-29,0.7995517965071883,0.20027642643126936,0.00017177706154229895
4.141519752410312e-30,0.7969229924924536,0.20289223772703924,0.0001847697805071945
1.2818989709841442e-29,0.7942843988981471,0.20551685587078336,0.00019874523106957513
3.1554436208840472e-30,0.791635810758404,0.20815041149739746,0.00021377774419860152
4.141519752410312e-30,0.788977018211805,0.21079303451515255,0.00022994727304246175
1.34106353887572e-29,0.7863078064088741,0.21344485377295222,0.0002473398181736935
