residual,phi1_L8Bo,phi2_Solvent,phi3_Donor
7.703719777548943e-32,0.4087450067085438,0.0011389375230578798,0.5901160557683983
7.270734518567738e-27,0.40921335899783023,0.004641132901380241,0.5861455081007896
8.080215970517315e-28,0.40968699907333067,0.008156065763059986,0.5821569351636093
2.019637991761341e-28,0.4101661568762635,0.011683872536287134,0.5781499705874493
1.2094840050751841e-31,0.41065106074427915,0.015224697437947689,0.5741242418177731
5.050250537369985e-29,0.4111419380229392,0.01877869230951028,0.5700793696675506
1.232595164407831e-32,0.41163901566797084,0.02234601644749702,0.5660149678845322
2.465190328815662e-32,0.41214252084027286,0.02592683642706378,0.5619306427326634
1.232595164407831e-31,0.4126526814956626,0.02952132591709776,0.5578259925872396
3.5745259767827097e-31,0.41316972697124577,0.033129665485098235,0.553700607543656
1.232595164407831e-30,0.4136938885703314,0.036752042389979735,0.5495540690396888
1.2782011854909207e-29,0.4142254001478491,0.040388650360867334,0.5453859494912835
3.2047474274603605e-31,0.4147644986981258,0.044039689359687474,0.5411958119421867
6.162975822039155e-32,0.41531142494699175,0.04770536532526877,0.5369832097277394
1.2671078290112502e-29,0.4158664239501787,0.051385889896483856,0.5327476861533375
1.2634100435180267e-29,0.4164297457000101,0.05508148011175477,0.5284887741882351
9.860761315262648e-32,0.4170016457423703,0.058792358081945516,0.5242059961756842
4.930380657631324e-32,0.4175823858061548,0.06251875063364332,0.5198988635602019
2.465190328815662e-31,0.4181722344472471,0.06626088891931103,0.5155668766334418
1.9721522630525295e-31,0.4187714677093577,0.07001900799074309,0.5112095242998992
1.2671078290112502e-29,0.41938036980397203,0.07379334633180534,0.5068262838642227
9.860761315262648e-32,0.41999923381188853,0.07758414534618548,0.502416620841926
1.7749370367472766e-30,0.4206283624088708,0.08139164879556476,0.49797998879556443
1.3016204936146695e-29,0.4212680686180438,0.08521610218308395,0.49351582919887227
6.409494854920721e-31,0.42191867659192234,0.08905775207680597,0.4890235713312717
9.860761315262648e-32,0.42258052242691607,0.09291684536713626,0.4845026322059476
8.874685183736383e-31,0.42325395501355495,0.09679362845196728,0.47995241653447773
1.232595164407831e-30,0.423939336925723,0.10068834634258,0.47537231673169705
4.930380657631324e-32,0.4246370453523764,0.10460124168277198,0.4707617129648516
1.232595164407831e-30,0.4253474730756493,0.10853255367328388,0.4661199732510669
1.3016204936146695e-29,0.4260710294992888,0.11248251689263117,0.46144645360807995
1.2818989709841442e-30,0.4268081417316588,0.11645136000482074,0.4567404982635204
2.0214560696288428e-30,0.4275592557281459,0.12043930434386042,0.4520014399279937
1.2720382096688815e-29,0.4283248374976348,0.12444656236367896,0.4472286001386863
1.2671078290112502e-29,0.42910537437871615,0.1284733359417234,0.4424212896795605
1.262177448353619e-29,0.42990137639101367,0.13251981452282685,0.4375788090861595
3.3526588471893e-30,0.43071337766810236,0.13658617308953153,0.4327004492423661
3.549874073494553e-30,0.4315419379784953,0.1406725699433596,0.4277854920781451
3.944304526105059e-31,0.4323876443420474,0.14477914428058566,0.42283321137736696
1.9721522630525295e-31,0.43325111274949524,0.14890601354452426,0.4178428737059805
9.860761315262648e-31,0.43413298999358085,0.15305327053490342,0.41281373947151573
9.860761315262648e-31,0.4350339556209595,0.15722098025330455,0.40774506412573597
7.099748146989106e-30,0.4359547240148775,0.16140917646198347,0.40263609952313895
3.549874073494553e-30,0.43689604661921927,0.1656178579312319,0.39748609544954877
3.944304526105059e-30,0.43785871431589085,0.16984698434876924,0.39229430133533993
3.3526588471893e-30,0.4388435599681545,0.1740964718622268,0.38705996816961874
3.3526588471893e-30,0.4398514611439913,0.17836618822343894,0.3817823506325697
5.127595883936577e-29,0.440883343034325,0.1826559475005352,0.3764607094651397
4.141519752410312e-30,0.44194018158310744,0.18696550432151304,0.3710943140953795
5.088152838675526e-29,0.44302300684690354,0.19129454760921913,0.3656824455438773
4.141519752410312e-30,0.4441329066039799,0.19564269376502194,0.36022439963099817
6.310887241768095e-30,0.4452710302343807,0.2000094792545891,0.35471949051103013
3.944304526105059e-30,0.4464385928946573,0.20439435254545274,0.34916705455989
3.3526588471893e-30,0.44763688001295093,0.20879666534160635,0.3435664546454428
3.944304526105059e-30,0.4488672521332696,0.21321566305668158,0.3379170848100488
9.860761315262648e-31,0.45013115013952665,0.21765047446115734,0.332218375399316
3.944304526105059e-31,0.451430100893946,0.2221001004348862,0.3264697986711678
2.5637979419682884e-30,0.45276572332731113,0.22656340174995757,0.3206708749227313
3.3526588471893e-30,0.454139735022474,0.23103908580283852,0.31482117917468744
3.3526588471893e-30,0.45555395933648923,0.23552569220794398,0.3089203484555668
3.1554436208840472e-30,0.4570103331118787,0.240021577157854,0.30296808973026734
1.7749370367472766e-30,0.4585109150323406,0.2445248964472816,0.29696418852037787
4.141519752410312e-30,0.4600578946838383,0.24903358704924738,0.29090851826691433
6.508102468073347e-30,0.4616536023893095,0.25354534712342774,0.28480105048726273
0.0,0.46330051989101767,0.2580576143254689,0.27864186578351346
4.733165431326071e-30,0.46500129196453427,0.26256754227687096,0.2724311657585947
1.3607850615062454e-29,0.4667587390556591,0.26707197504192465,0.26616928590241623
4.141519752410312e-30,0.4685758710424171,0.27156741944597357,0.2598567095116094
3.3526588471893e-30,0.4704559022369352,0.2760500150567842,0.25349408270628054
3.944304526105059e-30,0.4724022677517154,0.2805155016332023,0.24708223061508222
3.3526588471893e-30,0.47441864137429274,0.28495918383319546,0.24062217479251174
5.7192415628523356e-30,0.47650895510499175,0.2893758929515733,0.23411515194343502
2.5637979419682884e-30,0.4786774205360604,0.2937599454425294,0.22756263402141014
5.068431316045001e-29,0.4809285522697176,0.29810509796024853,0.22096634977003393
7.888609052210118e-30,0.4832671935954101,0.3024044986278282,0.21432830777676176
1.9721522630525295e-31,0.4856985446778142,0.3066506342233164,0.20765082109886945
8.67746995743113e-30,0.48822819353344477,0.3108352729425303,0.20093653352402496
1.7749370367472766e-30,0.4908621501172572,0.31494940237441493,0.19418844750832787
2.2429993482504102e-11,0.7683854929189782,0.1944688987221526,0.037145608358869237
