residual,phi1_L8Bo,phi2_Solvent,phi3_Donor
4.93038065763132e-32,0.798223512786554,0.201763178883637,1.33083298091805e-05
3.90979186150164e-29,0.76574751196631,0.234238194011766,1.42940219232234e-05
3.54987407349455e-30,0.741295688920885,0.258688958359002,1.53527201137325e-05
7.49417859959961e-30,0.72090812525103,0.279075384917336,1.64898316342762e-05
1.97215226305253e-31,0.703090783656459,0.29689150517931,1.77111642309923e-05
3.17516514351457e-29,0.68708706107139,0.312893915972805,1.90229558053914e-05
7.29696337329436e-30,0.672451048160428,0.327528519933298,2.04319062741592e-05
0,0.658893836299955,0.341084218488257,2.19452117886806e-05
1.26217744835362e-29,0.646215603677534,0.353760825720977,2.35706014890607e-05
7.88860905221012e-31,0.634271354954404,0.365703328668615,2.53163769803614e-05
1.57772181044202e-30,0.622951935549965,0.377020872995302,2.71914547326776e-05
3.94430452610506e-30,0.612172741673644,0.387798052914735,2.92054116216078e-05
1.97215226305253e-30,0.601866626509448,0.398102004956711,3.13685338417182e-05
5.12759588393658e-30,0.591979241077238,0.407987067053319,3.36918694428196e-05
9.86076131526265e-31,0.582465860572102,0.417497952143141,3.61872847573876e-05
5.12759588393658e-30,0.573289155521956,0.426671976953036,3.8867525007323e-05
1.77493703674728e-30,0.56441758528618,0.435540668434421,4.17462793996026e-05
3.3526588471893e-30,0.555824213919774,0.444130947829182,4.48382510432895e-05
3.05289170320532e-28,0.547485820186069,0.452466020581886,4.81592320450045e-05
3.12783348920131e-28,0.539382217099577,0.460566056716257,5.17261841664027e-05
1.77493703674728e-30,0.531495723718722,0.468448718955822,5.5557325455611e-05
2.76101316827354e-30,0.523810749540014,0.47612957823669,5.9672223295093e-05
5.91645678915759e-30,0.516313463495837,0.483622444609822,6.40918943411776e-05
5.12759588393658e-30,0.508991527427452,0.490939633660682,6.88389118656899e-05
1.77493703674728e-30,0.501833879332536,0.498092183146416,7.39375210479252e-05
1.22273440309257e-29,0.494830555487866,0.505090030749328,7.94137628058162e-05
9.86076131526265e-31,0.487972543261537,0.511942161131664,8.52956067987542e-05
5.12759588393658e-30,0.481251658391675,0.518656728514043,9.16130942813713e-05
4.14151975241031e-30,0.474660441945367,0.525241159563095,9.83984915379017e-05
2.76101316827354e-30,0.468192073242722,0.531702240302597,0.000105686454680784
3.94430452610506e-30,0.461840295830866,0.538046189962479,0.0001135142066552
1.43967115202835e-29,0.45559935420303,0.544278724069617,0.000121921727353604
2.02145606962884e-30,0.449463939423934,0.550405108618255,0.000130951957811225
1.23259516440783e-30,0.443429142184466,0.556430206796008,0.000140651019525488
3.74425433092167e-26,0.437490412087953,0.562358519462028,0.000151068450019488
8.21401417561379e-28,0.431643522203628,0.568194220340519,0.000162257455852675
3.40196265376561e-30,0.425884538061633,0.573941186753996,0.000174275184370968
4.14151975241031e-30,0.42020979047423,0.579603026510186,0.000187183015584269
1.40515848742493e-29,0.414615851595938,0.5851831015284,0.000201046875662105
3.94430452610506e-31,0.409099513790792,0.59068454863556,0.000215937573648595
9.86076131526265e-31,0.403657770918682,0.596110297918201,0.000231931163116459
1.42981039071308e-30,0.398287801721311,0.601463088948082,0.000249109330607242
1.03537993810258e-30,0.392986955036288,0.60674548515087,0.000267559812841661
8.08582427851537e-30,0.387752736610362,0.611959886544807,0.00028737684483097
2.36658271566304e-30,0.382582797315547,0.617108541043275,0.000308661641178068
6.50810246807335e-30,0.377474922601144,0.622193554485829,0.000331522913026537
8.38164711797325e-31,0.372427023038504,0.627216899538199,0.000356077423297944
1.77493703674728e-30,0.367437125834849,0.632180423582098,0.000382450583053226
3.20474742746036e-30,0.362503367210042,0.637085855697934,0.000410777092024067
1.03044955744495e-29,0.357623985544229,0.641934812829185,0.000441201626585743
2.36658271566304e-30,0.352797315216411,0.646728805204904,0.000473879578685222
3.56806717812121e-27,0.348021781065148,0.651469241085354,0.000508977849498571
9.17445232772037e-28,0.343295893410043,0.656157430888085,0.000546675701871239
4.14151975241031e-30,0.33861824358225,0.660794590741855,0.000587165675894998
1.36078506150625e-29,0.333987499918497,0.665381845509206,0.000630654572297845
3.20474742746036e-30,0.329402404175698,0.669920231315633,0.000677364508669445
2.36658271566304e-30,0.324861768334482,0.674410697611601,0.00072753405391677
3.94430452610506e-30,0.320364471758351,0.678854108794905,0.000781419446744104
3.0691619593755e-30,0.315909458682128,0.683251245413492,0.000839295904380741
4.93038065763132e-30,0.311495736006234,0.687602804965526,0.000901459028240648
1.57772181044202e-30,0.307122371375526,0.691909402310781,0.000968226313693449
6.22460558025955e-30,0.302788491524933,0.696171569703409,0.00103993877165779
1.20301288046204e-29,0.298493280875947,0.700389756453754,0.00111696267029933
5.23852944873328e-30,0.29423598037003,0.704564328224241,0.00119969140572899
3.95663047774914e-30,0.290015886527125,0.708695565961619,0.00128854751125595
1.68865537523873e-30,0.285832350718851,0.712783664465691,0.0013839848154576
3.26637718568075e-30,0.281684778647405,0.716828730592507,0.00148649076008865
9.86076131526265e-31,0.277572630022935,0.720830781087397,0.00159658888966809
7.30928932493844e-30,0.273495418432513,0.724789740042028,0.0017148415254593
3.20474742746036e-30,0.269452711395947,0.728705435966552,0.00184185263750076
3.16776957252813e-30,0.265444130603698,0.732577598466946,0.00197827092935592
3.20474742746036e-30,0.261469352333877,0.736405854514785,0.00212479315133762
4.9427066092754e-30,0.257528108045475,0.740189724295396,0.00228216765912906
9.86076131526265e-31,0.253620185146127,0.743928616617896,0.00245119823597691
3.3526588471893e-30,0.249745427933536,0.747621823868486,0.00263274819797827
6.61903603287005e-30,0.245903738709767,0.751268516486804,0.00282774480342891
3.59917788007087e-30,0.242095079069069,0.754867736942178,0.0030371839887535
3.99360833268137e-30,0.23831947135974,0.758418393185054,0.00326213545520622
5.43574467503853e-30,0.234577000321692,0.761919251545986,0.00350374813232205
3.08148791101958e-31,0.230867814901678,0.7653689290523,0.00376325604602284
