residual,phi1,phi3,phi2
1.26397487276166e-13,0.150504741254166,0.265952941194019,0.583542317551815
1.26397487276166e-13,0.287809672248227,1e-21,0.712190327751773
1.27239765545732e-13,0.150515108920582,0.265718509272881,0.583766381806536
1.27239765545732e-13,0.287653012944469,1.1e-21,0.712346987055531
1.26781411543467e-13,0.150516097179757,0.265696218376196,0.583787684444047
1.26781411543467e-13,0.287638127093934,1.11e-21,0.712361872906066
1.2727905045753e-13,0.150516192093164,0.265694014810121,0.583789793096716
1.2727905045753e-13,0.287636649744825,1.111e-21,0.712363350255175
1.26853918039229e-13,0.150516204573928,0.265693781794885,0.583790013631187
1.26853918039229e-13,0.287636498666796,1.1111e-21,0.712363501333204
1.26897491109217e-13,0.150516205281283,0.265693760772799,0.583790033945917
1.26897491109217e-13,0.287636484158981,1.11111e-21,0.712363515841019
1.3589138371319e-13,0.150516150438656,0.265693986119543,0.583789863441801
1.3589138371319e-13,0.287636540548457,1.111111e-21,0.712363459451543
1.25486412789414e-13,0.15051621432003,0.265693720225197,0.583790065454773
1.25486412789414e-13,0.287636472327736,1.1111111e-21,0.712363527672264
1.25486144169665e-13,0.15051621432003,0.265693720225197,0.583790065454773
1.25486144169665e-13,0.287636472327736,1.11111111e-21,0.712363527672264
1.37597315724181e-13,0.150758931688524,0.260168050948403,0.589073017363072
1.37597315724181e-13,0.283967918138912,1.0111111111e-20,0.716032081861088
1.37445623901815e-13,0.150768404433824,0.259950976850548,0.589280618715627
1.37445623901815e-13,0.283824734622154,1.10111111111e-20,0.716175265377846
1.35531461165482e-13,0.150769321306758,0.259930187415318,0.589300491277924
1.35531461165482e-13,0.283811045978448,1.110111111111e-20,0.716188954021552
1.72897982407151e-13,0.150769187340833,0.259929070889249,0.589301741769918
1.72897982407151e-13,0.283809930527585,1.1110111111111e-20,0.716190069472415
1.35044297513567e-13,0.150769423498495,0.259927903183734,0.589302673317771
1.35044297513567e-13,0.28380954499424,1.11110111111111e-20,0.71619045500576
1.37066019959054e-13,0.150769411404793,0.259927937953056,0.58930265064215
1.37066019959054e-13,0.283809545982249,1.11111011111111e-20,0.716190454017751
1.35108481204464e-13,0.15076942415893,0.259927880818293,0.589302695022776
1.35108481204464e-13,0.283809529737673,1.11111101111111e-20,0.716190470262327
1.80076906331382e-13,0.150769156292602,0.259929027530952,0.589301816176447
1.80076906331382e-13,0.283809833528055,1.11111110111111e-20,0.716190166471945
1.35431234808505e-13,0.15076942202142,0.259927890694759,0.589302687283822
1.35431234808505e-13,0.283809532566977,1.11111111011111e-20,0.716190467433023
1.35431208908981e-13,0.15076942202142,0.259927890694759,0.589302687283822
1.35431208908981e-13,0.283809532566977,1.11111111101111e-20,0.716190467433023
2.14113845979519e-13,0.151016906430343,0.254206248234056,0.594776845335602
2.14113845979519e-13,0.280060114876994,1.01111111111011e-19,0.719939885123007
1.86184548442845e-13,0.151026738508488,0.253980570377448,0.594992691114063
1.86184548442845e-13,0.279913510904344,1.10111111111101e-19,0.720086489095656
1.49855445717345e-13,0.151027883944226,0.253958131774441,0.595013984281333
1.49855445717345e-13,0.279899282258756,1.1101111111111e-19,0.720100717741244
1.46338716411598e-13,0.151027998993206,0.253955891799089,0.595016109207705
1.46338716411598e-13,0.279897863477501,1.11101111111111e-19,0.720102136522499
1.61084510451837e-13,0.151027914508301,0.253956074513386,0.595016010978313
1.61084510451837e-13,0.279897825571086,1.11110111111111e-19,0.720102174428914
8.23388691652732e-11,0.150986092997392,0.254134800731281,0.594879106271327
8.23388691652732e-11,0.27994432498217,1.11111011111111e-19,0.72005567501783
3.66272867651388e-13,0.151026907968287,0.253960333982163,0.59501275804955
3.66272867651388e-13,0.279898912957082,1.11111101111111e-19,0.720101087042918
2.33418940043614e-13,0.151027508315398,0.253957802928587,0.595014688756016
2.33418940043614e-13,0.279898271465981,1.11111110111111e-19,0.720101728534019
1.48287366165072e-13,0.151027996441048,0.253955709059386,0.595016294499566
1.48287366165072e-13,0.279897723263977,1.11111111011111e-19,0.720102276736023
1.48287339029739e-13,0.151027996441048,0.253955709059386,0.595016294499566
1.48287339029739e-13,0.279897723263977,1.11111111101111e-19,0.720102276736023
1.60601336028861e-13,0.151281496758205,0.248015589545344,0.600702913696451
1.60601336028861e-13,0.276059444301489,1.01111111111011e-18,0.723940555698511
8.08485192180017e-13,0.151288790807784,0.247792824720229,0.600918384471987
8.08485192180017e-13,0.275912215036656,1.10111111111101e-18,0.724087784963344
1.62096655159538e-12,0.151287775121991,0.247778623404883,0.600933601473126
1.62096655159538e-12,0.275899873271809,1.1101111111111e-18,0.724100126728191
8.97904662851543e-13,0.151289583823934,0.247769350569461,0.600941065606605
8.97904662851543e-13,0.275896744834442,1.11101111111111e-18,0.724103255165558
1.60119473521023e-13,0.151292456722687,0.247756955381229,0.600950587896084
1.60119473521023e-13,0.275893524570923,1.11110111111111e-18,0.724106475429077
1.59366363082545e-13,0.151292462557885,0.247756912548527,0.600950624893588
1.59366363082545e-13,0.275893505315617,1.11111011111111e-18,0.724106494684383
8.10215039044017e-13,0.151289840773411,0.247768080978338,0.600942078248252
8.10215039044017e-13,0.275896345115714,1.11111101111111e-18,0.724103654884286
9.17733094095225e-13,0.151289541528238,0.247769374313847,0.600941084157915
9.17733094095225e-13,0.275896693741456,1.11111110111111e-18,0.724103306258544
1.59441233028618e-13,0.151292462290966,0.247756911289812,0.600950626419222
1.59441233028618e-13,0.275893503749438,1.11111111011111e-18,0.724106496250562
1.59441202934529e-13,0.151292462290966,0.247756911289812,0.600950626419222
1.59441202934529e-13,0.275893503749438,1.11111111101111e-18,0.724106496250562
2.19057299032238e-13,0.151551850407998,0.241578762571435,0.606869387020567
2.19057299032238e-13,0.271958785111029,1.01111111111011e-17,0.728041214888971
1.74463181672192e-13,0.151562292412105,0.24133399328992,0.607103714297976
1.74463181672192e-13,0.271804547933647,1.10111111111101e-17,0.728195452066353
1.79563271934379e-13,0.15156322825913,0.241310869998982,0.607125901741888
1.79563271934379e-13,0.271789882153191,1.1101111111111e-17,0.728210117846809
1.77830023380301e-13,0.151563336430093,0.24130850392455,0.607128159645357
1.77830023380301e-13,0.271788406093674,1.11101111111111e-17,0.728211593906326
1.42739360975972e-12,0.15155904281192,0.2413267220489,0.60711423513918
1.42739360975972e-12,0.271792924364988,1.11110111111111e-17,0.728207075635012
1.80673197707621e-13,0.151563328014548,0.24130833060672,0.607128341378732
1.80673197707621e-13,0.271788265647994,1.11111011111111e-17,0.728211734352006
5.23115248586436e-12,0.151552998142861,0.241352523123129,0.60709447873401
5.23115248586436e-12,0.271799400465395,1.11111101111111e-17,0.728200599534605
3.69515696737344e-11,0.151532106522346,0.241442025852538,0.607025867625115
3.69515696737344e-11,0.27182199374282,1.11111110111111e-17,0.72817800625718
1.7751214618466e-13,0.151563349305967,0.241308237337705,0.607128413356328
1.7751214618466e-13,0.271788241154501,1.11111111011111e-17,0.728211758845499
1.77512114739509e-13,0.151563349305967,0.241308237337705,0.607128413356328
1.77512114739509e-13,0.271788241154501,1.11111111101111e-17,0.728211758845499
1.54100241945236e-12,0.151825094974574,0.234883552218885,0.613291352806541
0,0,0,0
