residual,phi1_L8Bo,phi3_Donor,phi2_o-Xylene
1.26834042417566e-29,0.441949475981204,0.529480993713327,0.0285695303054685
1.26834042417566e-29,0.966698209547676,1e-05,0.0332917904523242
3.15904896173994e-28,0.441917371174998,0.526711544847135,0.0313710839778668
3.15904896173994e-28,0.963455205037827,1.07611174028778e-05,0.0365340338447701
2.40369335190936e-25,0.441886138292559,0.523933261687061,0.0341806000203803
2.40369335190936e-25,0.960206983521855,1.1580164775852e-05,0.0397814363133694
1.26259961219743e-27,0.441855836377539,0.521146005772391,0.0369981578500698
1.26259961219743e-27,0.956953495980924,1.24615512697614e-05,0.0430340424678057
3.15707680947689e-28,0.441826522886981,0.518349635787508,0.0398238413255106
3.15707680947689e-28,0.953694689302142,1.34100216235884e-05,0.0462919006762342
1.27820118549092e-29,0.441798253811515,0.51554400742693,0.0426577387615554
1.27820118549092e-29,0.95043050627025,1.44306817066566e-05,0.0495550630480431
1.3068590230634e-29,0.441771083793749,0.51272897326241,0.0454999429438415
1.3068590230634e-29,0.947160885559549,1.55290260048893e-05,0.0528235854144459
1.26834042417566e-29,0.441745066246363,0.509904382608377,0.0483505511452609
1.26834042417566e-29,0.943885761723456,1.67109671990957e-05,0.0560975273093445
1.32750499206723e-29,0.441720253469689,0.507070081386662,0.0512096651436494
1.32750499206723e-29,0.940605065182447,1.79828679945109e-05,0.0593769519495584
6.16297582203915e-32,0.441696696768953,0.504225911990425,0.0540773912406214
6.16297582203915e-32,0.937318722210357,1.93515753729386e-05,0.0626619262142698
5.05364017407211e-31,0.44167444657139,0.501371713147094,0.056953840281516
5.05364017407211e-31,0.934026654918974,2.08244574518832e-05,0.0659525206235746
5.06966391120941e-29,0.44165355254341,0.498507319780305,0.0598391276762849
5.06966391120941e-29,0.93072878124098,2.2409443149095e-05,0.0692488093158705
5.06103574505855e-29,0.441634063708038,0.495632562870724,0.0627333734212384
5.06103574505855e-29,0.927425014911224,2.41150648660527e-05,0.0725508700239101
5.10417657581283e-29,0.441616028562804,0.492747269315747,0.0656367021214492
5.10417657581283e-29,0.924115265446374,2.59505044201608e-05,0.0758587840492057
5.04994238857888e-29,0.441599495198346,0.489851261787953,0.0685492430137009
5.04994238857888e-29,0.920799438122954,2.79256424729251e-05,0.0791726362345736
3.21707337910444e-30,0.441584511417919,0.486944358592368,0.0714711299897132
3.21707337910444e-30,0.91747743395386,3.00511117201939e-05,0.0824925149344198
3.47591836363008e-30,0.441571124858067,0.484026373522455,0.074402501619478
